LocationID,Area,Target Amount
1,Bamaw (mobile1)," 15,000,000 "
1,Kyaukse," 100,000 "
1,Kyaukse (mini)," 1,000,000 "
1,Madayar (Mini)," 400,000 "
1,Magway (Mobile-2)," 5,000,000 "
1,Mer1," 700,000 "
1,Mer2," 1,000,000 "
1,Mer3," 2,500,000 "
1,Mogoke Lower," 100,000 "
1,Mogoke Lower ," 200,000 "
1,Myit Nge (mini)," 300,000 "
1,Naypyitaw (mobile-1)," 200,000 "
1,Pakokku (mini)," 2,000,000 "
1,PLV1," 100,000 "
1,PLV2," 50,000 "
1,PLV3," 150,000 "
1,PLV4," 400,000 "
1,PLV5," 400,000 "
1,POL (mini)," 2,000,000 "
1,POLPLT," 200,000 "
1,POLSD," 200,000 "
1,Prov," 600,000 "
1,SagaingPlt," 100,000 "
1,SagaingSD," 150,000 "
1,SDV1," 150,000 "
1,SDV2," 150,000 "
1,SDV3," 350,000 "
1,SDV4," 500,000 "
1,SDV5," 120,000 "
2,Mobile SDG (Provent East)," 300,000 "
2,Mobile SDG (Provent West)," 200,000 "
2,Phonesale," 50,000 "
2,Retail PLT," 50,000 "
2,Retail SD," 300,000 "
3,Kayin Platinum," 150,000 "
3,Kayin Rich," 600,000 "
3,Kayin SD," 250,000 "
3,Mon Rich," 50,000 "
3,Mon SD," 50,000 "
3,Myin Gyan," 900,000 "
3,Retail Rich," 100,000 "
3,Shan Gyee Team(1)," 3,000,000 "
3,Shan Gyee Team(2)," 7,000,000 "
4,PS," 150,000 "
4,Retail - R," 500,000 "
4,Retail - S," 500,000 "
4,Shan Gyi," 14,000,000 "
4,Whole Sales," 4,000,000 "
5,Merchandising," 300,000 "
5,Retail-1," 100,000 "
5,Retail-2," 200,000 "
6,Mobile-1," 150,000 "
6,Mobile-2," 1,200,000 "
7,Mini," 1,500,000 "
7,Mobile," 300,000 "
